2026-04-06 16:04:20 | INFO     | src.data.loader | Loading stock data from: /home/thota23/Volatility-Forecasting-in-Global-Financial-Markets-Using-TimeMixer/Data/stock.csv
2026-04-06 16:04:20 | INFO     | src.data.loader |   ✓ stock: 58,259 rows | 10 tickers | 2010-01-04 → 2026-03-30
2026-04-06 16:04:20 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 16:04:20 | INFO     | src.data.preprocessing |   ✓ 5,908 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 16:04:20 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 5,088 rows | Test: 820 rows
2026-04-06 16:09:27 | INFO     | src.data.loader | Loading stock data from: /home/thota23/Volatility-Forecasting-in-Global-Financial-Markets-Using-TimeMixer/Data/stock.csv
2026-04-06 16:09:27 | INFO     | src.data.loader |   ✓ stock: 58,259 rows | 10 tickers | 2010-01-04 → 2026-03-30
2026-04-06 16:09:27 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 16:09:27 | INFO     | src.data.preprocessing |   ✓ 5,908 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 16:09:27 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 5,088 rows | Test: 820 rows
2026-04-06 16:11:42 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 16:11:42 | INFO     | src.data.preprocessing |   ✓ 5,908 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 16:11:42 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 5,088 rows | Test: 820 rows
2026-04-06 16:13:54 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 16:13:54 | INFO     | src.data.preprocessing |   ✓ 5,908 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 16:13:54 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 5,088 rows | Test: 820 rows
2026-04-06 16:16:11 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 16:16:11 | INFO     | src.data.preprocessing |   ✓ 5,908 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 16:16:11 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 5,088 rows | Test: 820 rows
2026-04-06 16:18:25 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 16:18:25 | INFO     | src.data.preprocessing |   ✓ 5,908 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 16:18:25 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 5,088 rows | Test: 820 rows
2026-04-06 16:20:41 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 16:20:41 | INFO     | src.data.preprocessing |   ✓ 5,043 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 16:20:41 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 4,223 rows | Test: 820 rows
2026-04-06 16:22:58 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 16:22:58 | INFO     | src.data.preprocessing |   ✓ 5,908 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 16:22:58 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 5,088 rows | Test: 820 rows
2026-04-06 16:25:12 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 16:25:12 | INFO     | src.data.preprocessing |   ✓ 5,908 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 16:25:12 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 5,088 rows | Test: 820 rows
2026-04-06 16:27:25 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 16:27:25 | INFO     | src.data.preprocessing |   ✓ 5,732 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 16:27:25 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 4,912 rows | Test: 820 rows
2026-04-06 16:29:38 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 16:29:38 | INFO     | src.data.preprocessing |   ✓ 5,908 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 16:29:38 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 5,088 rows | Test: 820 rows
2026-04-06 16:31:51 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 16:31:51 | WARNING  | src.data.preprocessing | No volatility results computed (empty input or insufficient data).
2026-04-06 16:31:51 | INFO     | src.data.loader | Loading etf data from: /home/thota23/Volatility-Forecasting-in-Global-Financial-Markets-Using-TimeMixer/Data/index_etf.csv
2026-04-06 16:31:51 | INFO     | src.data.loader |   ✓ etf: 57,865 rows | 10 tickers | 2010-01-04 → 2026-03-30
2026-04-06 16:31:51 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 16:31:51 | INFO     | src.data.preprocessing |   ✓ 5,908 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 16:31:51 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 5,088 rows | Test: 820 rows
2026-04-06 16:34:06 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 16:34:06 | INFO     | src.data.preprocessing |   ✓ 5,908 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 16:34:06 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 5,088 rows | Test: 820 rows
2026-04-06 16:36:20 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 16:36:20 | INFO     | src.data.preprocessing |   ✓ 5,908 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 16:36:20 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 5,088 rows | Test: 820 rows
2026-04-06 16:38:34 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
